ID,EN_NAME,GR_NAME,LINES,LAT,LONG
S163,Klimatia (Church),Κληματιά (εκκλησία),A17,39.742199434694,19.783790285345
S164,Klimatia (Terminus),Κληματιά (τέρμα),A17,39.740550934912,19.78423635715
S163R,Klimatia (Church),Κληματιά (εκκλησία),A17,39.742258926471,19.783749588184
S165,Nymfes 1,Νυμφές 1,A17,39.754419191752,19.783158234046
S166,Nymfes,Νυμφές 2 (τέρμα),A17,39.755868050891,19.787218036972
S158,Choroepiscopoi 3,Χοροεπισκόποι 3,A17,39.722012316851,19.741672710408
S165R,Nymfes 1,Νυμφές 1,A17,39.754439812371,19.783148846314
S110,Loutses 1,Λούτσες 1,A19,39.786790857339,19.876163069218
S111,Loutses 2,Λούτσες 2,A19,39.785230241917,19.879717099832
S389R,Mesongi 1 Junction (to City),Μεσογγή 1 κόμβος (προς πόλη),"B1, B12, B2, B3, SCHOOL",39.478767471377,19.926758536372
S396R,Kreopoleio,Κρεοπωλείο,"B1, B12, B2, B3, B8, SCHOOL",39.477029255426,19.921570287682
S397R,City Hall,Δημαρχείο,"B1, B12, B2, B3, B8, SCHOOL",39.477115833706,19.91682963463
S398R,Lioumba to Strongyli,Λιούμπα προς πόλη,"B1, B12, B2, B3, B8, SCHOOL",39.477259044319,19.912846202597
S522,Agios Mathaios 7,Άγιος Ματθαίος 7,"B8, SCHOOL",39.482752296975,19.890877986934
S521,Agios Mathaios 6,Άγιος Ματθαίος 6,"B8, SCHOOL",39.491754623466,19.879505507174
S520,Agios Mathaios 5,Άγιος Ματθαίος 5,"B8, SCHOOL",39.492557929927,19.877428777957
S519,Agios Mathaios 4,Άγιος Ματθαίος 4,"B8, SCHOOL",39.493036364342,19.875076826198
S518,Agios Mathaios 3,Άγιος Ματθαίος 3,"B8, SCHOOL",39.494691592955,19.872797341414
S517,Agios Mathaios 2,Άγιος Ματθαίος 2,"B8, SCHOOL",39.496682559051,19.872458163056
S516,Agios Mathaios 1,Άγιος Ματθαίος 1,"B8, SCHOOL",39.498096013933,19.87438142005
S515,Vouniatades 2,Βουνιατάδες 2,"B8, SCHOOL",39.514208386849,19.878824496837
S514,Vouniatades 1,Βουνιατάδες 1,"B8, SCHOOL",39.516271280441,19.878570289352
S511R,Foulia,Φούλια,"B13, B8, B9, SCHOOL",39.539297390997,19.872125776914
S512R,Kato Garouna Junction,Διασταύρωση Κάτω Γαρούνα,"B8, B9, SCHOOL",39.53600707855,19.867582432102
S513,Kato Garouna,Κάτω Γαρούνα,"B8, B9, SCHOOL",39.538133674163,19.864071726877
S512,Kato Garouna Junction,Διασταύρωση Κάτω Γαρούνα,"B8, B9, SCHOOL",39.536046381669,19.867534152341
S511,Foulia,Φούλια,"B8, B9, SCHOOL",39.539301527973,19.872058721691
S510,Ano Garouna,Άνω Γαρούνα,"B8, B9, SCHOOL",39.547147902839,19.870601839427
S509,Ano Garouna Junction,Διασταύρωση Άνω Γαρούνα,"B8, B9, SCHOOL",39.552785830528,19.862768882718
S504,Kastellanoi,Καστελλάνοι,"B8, B9, SCHOOL",39.562711323034,19.866029948549
S801,Σχολείο Καστελλάνων,Σχολείο Καστελλάνων,"B10, B14, SCHOOL",39.563559608683,19.86644828131
S452,Rouvelas (Ringglades Center),Ρούβελας (κέντρο Ριγγλάδων),"B1, SCHOOL",39.423078386647,20.062561724721
S451R,Spartera,Σπαρτερά,SCHOOL,39.378750910484,20.09346275343
S450R,Dragotina,Δραγωτινά,"B3, SCHOOL",39.383723759491,20.081772291035
S449R,Neochori,Νεοχώρι,"B3, SCHOOL",39.393916437569,20.076059217854
S448R,Palaiochori 1,Παλαιοχώρι 1,"B3, SCHOOL",39.390585530236,20.067439707411
S447R,Palaiochori 2,Παλαιοχώρι 2,"B3, SCHOOL",39.388805028542,20.06628767589
S446R,Kritika,Κρητικά,"B3, SCHOOL",39.393662543905,20.052540217346
S800,Γυμνάσιο Λευκίμμης,Γυμνάσιο Λευκίμμης,SCHOOL,39.421630662159,20.071789136537
S431,Marathias 3,Μαραθιάς 3,"B1, B3, SCHOOL",39.428501850716,19.995374435069
S432,Perivoli Junction,Διασταύρωση Περιβολίου,"B1, B3, SCHOOL",39.425050032256,20.002099748377
S433,Perivoli 1,Περιβόλι 1,"B1, B3, SCHOOL",39.424061411591,20.00591680595
S434,Perivoli 2,Περιβόλι 2,"B1, B3, SCHOOL",39.423598504532,20.009377760155
S435,Perivoli 3 Center,Περιβόλι 3 Κέντρο,"B1, B3, SCHOOL",39.420764207304,20.014310678541
S436,Vitalades Junction (Gouli),Διασταύρωση Βιταλάδων (Γουλή),"B1, B3, SCHOOL",39.418767512785,20.01999623671
S437,Vitalades,Βιταλάδες,"B1, B3, SCHOOL",39.410802739371,20.021580723621
S439,Vitaladon Junction (Varelis),Διασταύρωση Βιταλάδων (Βάρελης),"B1, B3, SCHOOL",39.418840511543,20.033305797131
S440,Lefkimmi,Λευκίμμη 1 (Supermarket Masoutis),"B1, B3, SCHOOL",39.422182060287,20.043722492691
S575,Chlomatiana,Χλοματιανά,"B12, B2, SCHOOL",39.462265340079,19.919774067245
S400,Vragkaniotika 1,Βραγκανιώτικα 1,"B1, B12, B2, B3, SCHOOL",39.466307978355,19.912587310557
S401,Vragkaniotika 2,Βραγκανιώτικα 2,"B1, B12, B2, B3, SCHOOL",39.464835980549,19.912747208412
S546,Vragkaniotika,Βραγκανιώτικα 3 (Mavroudis Olive oil),"B1, B12, B2, B3, SCHOOL",39.461517124469,19.91345882068
S402,Alevropari 1,Αλευροπάρι 1,"B1, B12, B2, B3, SCHOOL",39.459049719453,19.914518416385
S403,Alevropari 2,Αλευροπάρι 2,"B1, B12, B2, B3, SCHOOL",39.455750234983,19.919432251285
S545,Alevropari 3,Αλευροπάρι 3,"B1, B12, B2, B3, SCHOOL",39.453817575412,19.923022691003
S404,Linia 1,Λίνια 1,"B1, B12, B2, B3, SCHOOL",39.447715258909,19.930780577977
S405,Linia 2,Λίνια 2,"B1, B12, B2, B3, SCHOOL",39.446867655182,19.932770219058
S406,Linia,Λίνια 3 (Super Market),"B1, B12, B2, B3, SCHOOL",39.443826632127,19.940855653801
S407,Linia 4 Chlomos Junction,Λίνια 4 Διασταύρωση Χλωμού,"B1, B12, B2, B3, SCHOOL",39.443151795876,19.9437995591
S408,Chlomos,Χλωμός,"B12, B2, SCHOOL",39.455207867015,19.956058861311
S410,Agiou Georgiou Junction,Διασταύρωση Αγίου Γεωργίου,"B1, B12, B2, B3, SCHOOL",39.442924324617,19.954443112084
S411,Agios Georgios 1,Άγιος Γεώργιος 1,SCHOOL,39.428110538528,19.948886498293
S412,Agios Georgios 2,Άγιος Γεώργιος 2,SCHOOL,39.425832998741,19.947890166307
S413,Agios Georgios,Άγιος Γεώργιος 3 (εκκλησία),SCHOOL,39.425358293453,19.95332716375
S414,Agios Georgios,Άγιος Γεώργιος 5 (Kafesas),SCHOOL,39.424590983752,19.957765482636
S417,Argyrades School,Σχολείο Αργυράδων,"B1, B12, B2, B3, SCHOOL",39.437936663718,19.96770944398
S425,Agios Nikolaos,Άγιος Νικόλαος 3 (κέντρο),"B12, B2, SCHOOL",39.441497544206,19.997728949366
S574,Agios Nikolaos 2,Άγιος Νικόλαος 2,"B12, B2, SCHOOL",39.441283285222,19.996327144499
S424R,Agios Nikolaos 1,Άγιος Νικόλαος 1,"B12, B2, SCHOOL",39.444914917343,19.99402640112
S426,Petriti 1,Πετριτή 1,"B12, B2, SCHOOL",39.451123719321,19.995109533412
