ID,EN_NAME,GR_NAME,LAT,LONG
422,KOUKOURITSA - KAPODISTRIA'S MUSEUM,ΚΟΥΚΟΥΡΙΤΣΑ - ΜΟΥΣΕΙΟ ΚΑΠΟΔΙΣΤΡΙΑ,39.629667,19.857755
423,PATSI,ΠΑΤΣΙ,39.628457,19.860619
424,GKINI,ΓΚΙΝΗ,39.627288,19.862754
425,TERMINAL TO TOWNVROPOULI TO TOWN,ΤΕΡΜΑ ΠΡΟΣ ΠΟΛΗΥΡΩΠΟΥΛΟΙ ΠΡΟΣ ΠΟΛΗ,39.624904,19.866095
426,GKINI TO TOWN,ΓΚΙΝΗ ΠΡΟΣ ΠΟΛΗ,39.627346,19.862737
427,PATSI TO TOWN,ΠΑΤΣΙ ΠΡΟΣ ΠΟΛΗ,39.628534,19.860615
428,KOUKOURITSA - KAPODISTRIA'S MUSEUM TO TOWN,ΚΟΥΚΟΥΡΙΤΣΑ- ΜΟΥΣΕΙΟ ΚΑΠΟΔΙΣΤΡΙΑ ΠΡΟΣ ΠΟΛΗ,39.629721,19.857802
429,DAFARI TO TOWN,ΝΤΑΦΑΡΙ ΠΡΟΣ ΠΟΛΗ,39.631403,19.862415
430,RANKIOU TO TOWN,ΡΑΝΚΙΟΥ ΠΡΟΣ ΠΟΛΗ,39.630686,19.866027
431,KAMINI TO TOWN,ΚΑΜΙΝΙ ΠΡΟΣ ΠΟΛΗ,39.629275,19.866558
432,PARASTATHI TO TOWN,ΠΑΡΑΣΤΑΘΗ ΠΡΟΣ ΠΟΛΗ,39.627959,19.868326
433,LELA TO TOWN,ΛΕΛΑ ΠΡΟΣ ΠΟΛΗ,39.626479,19.870669
434,OLD TERMINAL POTAMOS TO TOWN,ΠΑΛΙΟ ΤΕΡΜΑ ΠΟΤΑΜΟΥ ΠΡΟΣ ΠΟΛΗ,39.624355,19.873791
435,ST. VARVARIS TO TOWN,ΑΓΙΟΣ ΒΑΡΒΑΡΗΣ ΠΡΟΣ ΠΟΛΗ,39.624232,19.875484
436,POLICE STATION POTAMOS TO TOWN,ΑΣΤΥΝΟΜΙΑ ΠΟΤΑΜΟΥ ΠΡΟΣ ΠΟΛΗ,39.623789,19.877105
437,POTAMOS TO TOWN,ΠΟΤΑΜΟΣ ΠΡΟΣ ΠΟΛΗ,39.624687,19.877718
442,POTAMOS JUNCTION TO TOWN,ΔΙΑΣΤΑΥΡΩΣΗ ΠΟΤΑΜΟΥ ΠΡΟΣ ΠΟΛΗ,39.624472,19.890902
443,SOLARI TO TOWN,ΣΟΛΑΡΙ ΠΡΟΣ ΠΟΛΗ,39.623927,19.895968
444,KAKAROUGKA TO TOWN,ΚΑΚΑΡΟΥΓΚΑ ΠΡΟΣ ΠΟΛΗ,39.622922,19.899748
445,CAPUCCINI TO TOWN,ΚΑΠΟΥΚΙΝΟΙ ΠΡΟΣ ΠΟΛΗ,39.621360,19.903994
446,GENERAL CLINIC TO TOWN,ΠΟΛΥΚΛΙΝΙΚΗ ΠΡΟΣ ΠΟΛΗ,39.621428,19.907161
447,PLATITERA TO TOWN,ΠΛΑΤΥΤΕΡΑ ΠΡΟΣ ΠΟΛΗ,39.622201,19.910592
448,GKIKA TO TOWN,ΓΚΙΚΑ ΠΡΟΣ ΠΟΛΗ,39.621563,19.914438
449,1ST PEROULAKI,1Η ΠΕΡΟΥΛΑΚΙ,39.631891,19.879491
450,KINDERGARTEN PEROULAKI,ΠΑΙΔΙΚΟΣ ΣΤΑΘΜΟΣ ΠΕΡΟΥΛΑΚΗ,39.629262,19.878919
451,ELTA,ΕΛΤΑ,39.625754,19.877848
452,POLICHOMA 3,ΠΟΛΥΧΩΜΑ 3,39.631647,19.853954
